title,artist,artistBio,gender,date,medium,artUrl,imageUrl
Everything goes. Primary and secondary colors brought up to white,Alejandro Puente,"Argentine, 1933–2013",Male,1968-70,"Cloth, iron, pigments, works on paper",http://www.moma.org/collection/works/112199,http://www.moma.org/media/W1siZiIsIjE0MTgzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=88720cd18aef47ae
Untitled,"Guyton\Walker, Wade Guyton, Kelley Walker","American American, born 1972 American, born 1969",Male Male Male,2008,Silkscreen and inkjet on canvas,http://www.moma.org/collection/works/117526,http://www.moma.org/media/W1siZiIsIjE0MTk3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0522269eafc0ecd7
The Bricks,Reena Spaulings,Not Applicable,Female,2006,Synthetic polymer paint on canvas,http://www.moma.org/collection/works/108146,http://www.moma.org/media/W1siZiIsIjE0MTk4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eb0655d37aaf2c93
Chronic Hollow,Ida Applebroog,"American, born 1929",Female,1989,"Oil on canvas, six parts",http://www.moma.org/collection/works/78697,http://www.moma.org/media/W1siZiIsIjE0MTY4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=740f344dcd626647
The Architect's Table,Pablo Picasso,"Spanish, 1881–1973",Male,"Paris, early 1912",Oil on canvas mounted on panel,http://www.moma.org/collection/works/80280,http://www.moma.org/media/W1siZiIsIjE0Mzk1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cd0ae49ccd289ffe
The Persian Jacket,Grace Hartigan,"American, 1922–2008",Female,1952,Oil on canvas,http://www.moma.org/collection/works/79636,http://www.moma.org/media/W1siZiIsIjE0NDY2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=87bf535a6bdec8de
Guano-Round,Judit Reigl,"Hungarian, born 1923",Female,1958-64,Mixed media on canvas,http://www.moma.org/collection/works/122661,http://www.moma.org/media/W1siZiIsIjE0NDY5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=64b1c0aedc8bf350
Construction,Alexandra Exter,"Russian, 1882–1949",Female,1922-23,Oil on canvas,http://www.moma.org/collection/works/80470,http://www.moma.org/media/W1siZiIsIjE0NTYyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f9da367786a531e
Dance (I),Henri Matisse,"French, 1869–1954",Male,"Paris, Boulevard des Invalides, early 1909",Oil on canvas,http://www.moma.org/collection/works/79124,http://www.moma.org/media/W1siZiIsIjE0NzExMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8a21b206934b77cf
Autumn Landscape,Maurice de Vlaminck,"French, 1876–1958",Male,c. 1905,Oil on canvas,http://www.moma.org/collection/works/78715,http://www.moma.org/media/W1siZiIsIjE0OTg0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e3afcfcde5f8e6aa
Postcard,Llyn Foulkes,"American, born 1934",Male,1964,Oil on canvas,http://www.moma.org/collection/works/79696,http://www.moma.org/media/W1siZiIsIjE0OTgwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=66c46ba0a0cdf66f
Struggle,Robert Goodnough,"American, 1917–2010",Male,1967,"Synthetic polymer paint, oil, and charcoal on canvas",http://www.moma.org/collection/works/80547,http://www.moma.org/media/W1siZiIsIjE0OTgyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4c21416ab62ef134
"Egg Beater, V",Stuart Davis,"American, 1892–1964",Male,1930,Oil on canvas,http://www.moma.org/collection/works/78895,http://www.moma.org/media/W1siZiIsIjE0OTgyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1bae09615c69af72
Masks Confronting Death,James Ensor,"Belgian, 1860–1949",Male,1888,Oil on canvas,http://www.moma.org/collection/works/79855,http://www.moma.org/media/W1siZiIsIjE0OTgzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=63d2510345db1bef
Deluge II,Philip Guston,"American, born Canada. 1913–1980",Male,1975,Oil on canvas,http://www.moma.org/collection/works/100253,http://www.moma.org/media/W1siZiIsIjE0OTgzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a08886bec659ac7a
Green Rug,Philip Guston,"American, born Canada. 1913–1980",Male,1976,Oil on canvas,http://www.moma.org/collection/works/100256,http://www.moma.org/media/W1siZiIsIjE0OTgzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8cde02912f1bee7f
Tribulations of Saint Anthony,James Ensor,"Belgian, 1860–1949",Male,1887,Oil on canvas,http://www.moma.org/collection/works/80683,http://www.moma.org/media/W1siZiIsIjE0OTgzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96be6f73891d0269
Exit the Ballets Russes,Fernand Léger,"French, 1881–1955",Male,1914,Oil on canvas,http://www.moma.org/collection/works/78420,http://www.moma.org/media/W1siZiIsIjE0OTgzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=81dcf32a6b60451b
Untitled,Kelley Walker,"American, born 1969",Male,2008,"Four-color process silkscreen on canvas with The New York Times, Sunday, October 5, 2008",http://www.moma.org/collection/works/126302,http://www.moma.org/media/W1siZiIsIjE0OTMyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=386f40d5abe2a87d
White Numbers,Jasper Johns,"American, born 1930",Male,"July 29, 1957",Encaustic on canvas,http://www.moma.org/collection/works/78412,http://www.moma.org/media/W1siZiIsIjE1MDE5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4afb8dcb8e4aa586
